	act_1	act_2	act_3
#rive	42	15	10
#padr	42	19	5
#iren	0	52	0
#cuel	12	0	35
#laur	17	18	10
#bria	29	0	9
#fern	0	14	15
#cipr	9	0	0
#juan	7	0	0
#pere	0	0	5
#garc	0	0	5
#escu	0	1	0
