	act_1	act_2	act_3
#meli	75	82	94
#nuno	101	70	31
#miss	46	34	51
#gonz	37	51	42
#elvi	59	40	24
#lain	48	36	25
#urra	66	23	15
#jaim	0	27	48
#bere	26	14	12
#rlon	43	0	0
#cosm	0	0	39
#antu	0	34	0
#bern	0	0	34
#rafa	30	0	0
#domi	0	15	8
#chic	21	0	0
#lito	17	0	0
#rela	14	0	0
#conc	0	0	12
#illo	12	0	0
#mano	10	0	0
#rina	9	0	0
#rita	8	0	0
#reve	0	0	7
#pepi	0	0	7
#emil	0	0	1
