	act_1	act_2	act_3
#hora	81	99	48
#afri	104	54	50
#ramo	31	68	33
#paco	71	21	20
#timo	71	17	23
#luis	22	36	37
#maru	19	56	5
#niev	19	52	0
#cons	31	25	11
#conde	31	0	30
#beni	20	14	13
#eulo	7	37	0
#vict	11	0	28
#wist	0	36	0
#jorg	7	0	0
#cami	0	0	0
