	act_1	act_2	act_3
#juan	53	56	81
#rosa	53	81	49
#isid	59	37	17
#andr	68	25	3
#cano	0	0	65
#paco	48	0	6
#tonu	21	25	0
#tabe	30	0	0
#igna	20	7	0
#peri	20	0	0
#beb1	6	0	0
#beb2	5	0	0
#muj1	2	0	0
#muj2	0	0	0
#cabo	0	0	0
#mozo	0	0	0
