	act_1	act_2	act_3
#isma	54	0	87
#juan	93	0	43
#casa	55	22	58
#clem	16	84	23
#rosa	31	12	75
#alfo	13	74	12
#zeno	31	0	46
#insu	20	22	0
#roge	28	0	0
#mart	9	0	10
#cebr	6	0	10
#pepa	10	0	0
#mari	0	9	0
#beat	0	8	0
#seve	0	0	3
#inst	0	2	0
